car_id,route_type_csv
20152005082000-73,none
20152005082009-82,camper
20152005092011-809,camper
20152005092047-998,camper
20152005092056-151,camper
20152005102037-864,camper
20152005112002-104,transit
20152006012006-635,transit
20152006022021-160,none
20152006022056-25,transit
20152006062007-464,camper
20152006062054-938,transit
20152006072036-68,camper
20152006072056-763,none
20152006092015-248,none
20152007032057-494,camper
20152007042003-474,ranger
20152007052008-382,transit
20152007072002-889,none
20152007102018-450,camper
20152007102021-84,transit
20152007102054-496,transit
20152008022034-837,none
20152008042053-423,camper
20152008052017-725,transit
20152008052025-846,camper
20152008082026-609,transit
20152008082056-988,camper
20152008092016-464,none
20152008092020-195,camper
20152008092051-845,camper
20152008102034-994,camper
20152008112057-368,transit
20152008122048-941,transit
20152009012021-870,none
20152009012039-59,none
20152009022052-994,camper
20152009032045-131,camper
20152009052035-476,transit
20152009082025-752,camper
20152009082034-820,none
20152009082046-820,camper
20152009102043-757,none
20152010012044-386,camper
20152010022051-412,camper
20152010042022-478,ranger
20152010052002-468,transit
20152010062025-164,none
20152010062058-60,camper
20152010082008-538,transit
20152010122043-411,transit
20152011022004-669,transit
20152011032031-380,none
20152011032039-149,camper
20152011052058-197,ranger
20152011082050-49,ranger
20152011112014-924,transit
20152011112059-543,transit
20152012012031-178,camper
20152012032004-676,transit
20152012032040-682,camper
20152012032058-382,camper
20152012032058-971,camper
20152012042036-344,camper
20152012052013-433,none
20152012062013-357,transit
20152012092008-483,camper
20152012092025-317,none
20152012102038-771,none
20152012102044-576,camper
20152012112014-685,ranger
20152012122004-665,transit
20152012122057-909,camper
20152013012002-670,transit
20152013012003-538,transit
20152013012056-517,transit
20152013022024-503,ranger
20152013022050-898,transit
20152013022053-492,camper
20152013052027-811,camper
20152013072042-964,transit
20152013102004-55,camper
20152013122033-895,transit
20152014022005-721,transit
20152014022023-745,none
20152014052009-210,camper
20152014052022-884,transit
20152014092002-743,transit
20152014122034-385,camper
20152015052049-423,transit
20152015062052-234,transit
20152015062055-237,transit
20152015082002-228,transit
20152015102051-234,transit
20152015102054-215,camper
20152015112047-306,transit
20152015112055-777,camper
20152016012038-49,camper
20152016062004-516,camper
20152016062014-930,none
20152016062049-74,transit
20152016092004-862,camper
20152016092054-684,none
20152016102045-529,none
20152016122046-228,none
20152017012005-964,transit
20152017012016-482,ranger
20152017012017-5,camper
20152017032012-413,transit
20152017042002-599,transit
20152017062040-345,ranger
20152017072059-593,transit
20152017102041-706,camper
20152018032036-787,none
20152018042030-736,none
20152018052046-592,camper
20152018072024-196,camper
20152018102004-940,camper
20152018112009-327,ranger
20152019032022-390,transit
20152019042030-375,none
20152019052023-769,camper
20152019082054-582,camper
20152019112015-444,camper
20152019112039-171,transit
20152020022040-275,transit
20152020042020-267,camper
20152020052000-192,transit
20152020062024-190,camper
20152020062041-92,camper
20152020082009-580,none
20152020102022-689,none
20152020112001-368,none
20152021022018-760,transit
20152021032045-534,ranger
20152021052037-513,camper
20152021062015-573,ranger
20152021062038-745,camper
20152021072025-898,transit
20152021072036-530,camper
20152021082039-914,transit
20152021102028-185,transit
20152021102031-370,transit
20152021102039-123,transit
20152022032029-340,camper
20152022042021-344,transit
20152022042045-117,none
20152022042050-514,none
20152022062035-937,transit
20152022072038-781,none
20152022082028-22,camper
20152023012018-442,transit
20152023022026-39,camper
20152023022034-542,transit
20152023042040-26,camper
20152023072028-613,transit
20152023092003-863,ranger
20152023122039-382,camper
20152023122044-94,transit
20152024032005-799,camper
20152024062006-883,camper
20152024062034-670,none
20152024102003-127,transit
20152024122033-3,none
20152024122045-512,none
20152025032000-169,transit
20152025032001-383,transit
20152025032033-74,camper
20152025052053-433,camper
20152025062036-525,camper
20152025112000-919,ranger
20152026012040-215,none
20152026032002-925,none
20152026042046-888,none
20152026042055-270,camper
20152026062048-507,transit
20152026112029-817,camper
20152026122051-203,transit
20152026122051-313,none
20152027022010-274,transit
20152027022025-727,none
20152027032011-806,camper
20152027032045-214,none
20152027042059-327,camper
20152027052026-10,camper
20152027062003-395,camper
20152027062057-241,camper
20152027072040-298,camper
20152027092015-55,transit
20152027102031-111,camper
20152027112018-673,transit
20152027112040-21,camper
20152027122000-634,camper
20152027122002-456,transit
20152028022013-691,camper
20152028022026-682,transit
20152028032002-960,transit
20152028032005-469,camper
20152028032039-983,transit
20152028052035-302,transit
20152028062019-42,transit
20152028062056-368,camper
20152028072036-773,camper
20152028072051-354,camper
20152028082032-230,transit
20152028092023-256,transit
20152028092031-391,camper
20152028092038-611,transit
20152028112022-449,camper
20152028122013-334,transit
20152028122015-955,none
20152029032000-947,transit
20152029032021-43,transit
20152029062057-873,transit
20152029072047-181,none
20152029102006-584,camper
20152029102047-483,transit
20152030012007-560,none
20152030022022-687,camper
20152030032003-941,none
20152030032023-389,none
20152030032040-454,transit
20152030032051-557,camper
20152030042019-172,camper
20152030052037-191,transit
20152030052046-858,transit
20152030062014-252,camper
20152030072021-992,none
20152030072048-614,transit
20152030082014-756,none
20152030082047-827,camper
20152030102012-63,camper
20152030102013-17,transit
20152030112000-524,camper
20152030112009-638,camper
20152030112039-826,transit
20152030112054-705,transit
20152031012013-428,transit
20152031012019-297,transit
20152031032030-321,transit
20152031042004-676,camper
20152031072019-442,none
20152031072030-847,transit
20152031082031-756,camper
20152031082042-902,none
20152031092023-767,transit
20152031092032-480,transit
20152031092038-925,camper
20152031102058-485,camper
20152031112006-199,camper
20152031112032-226,transit
20152101012104-141,camper
20152101032137-838,transit
20152101042112-684,none
20152101042140-726,ranger
20152101062116-767,transit
20152101072110-270,camper
20152101082118-96,none
20152101082156-552,none
20152101112137-263,transit
20152101122110-544,camper
20152102052137-1,transit
20152102052154-22,camper
20152102062100-389,camper
20152102082141-406,transit
20152102082141-663,camper
20152102092158-227,ranger
20152102102155-887,camper
20152102122135-146,camper
20152103042134-429,camper
20152104022149-431,transit
20152104032137-992,camper
20152104052130-587,camper
20152104052135-110,ranger
20152104062136-136,transit
20152104062155-634,transit
20152104072125-25,transit
20152104072145-815,camper
20152105022116-926,transit
20152105032151-320,transit
20152105042140-626,none
20152105052107-972,transit
20152105062116-886,none
20152105062125-369,camper
20152105062151-555,camper
20152105082117-380,none
20152105082127-520,transit
20152106012143-868,transit
20152106022121-157,transit
20152106022153-516,transit
20152106032107-288,transit
20152106052153-239,transit
20152106052156-327,camper
20152106072125-599,transit
20152106092141-219,camper
20152106092143-261,camper
20152106102137-170,transit
20152106112106-841,none
20152107012141-170,none
20152107032156-241,camper
20152107042129-901,transit
20152107042148-742,camper
20152107072119-673,ranger
20152107072157-137,camper
20152107122136-16,transit
20152108032121-509,transit
20152108052101-440,camper
20152108062110-956,none
20152108072126-110,transit
20152108102127-205,transit
20152108122142-303,camper
20152109022102-894,camper
20152109052119-324,camper
20152109052153-334,camper
20152109062104-583,camper
20152109072151-681,camper
20152109122133-121,transit
20152110012138-982,transit
20152110052113-363,transit
20152110062151-834,transit
20152110062154-762,transit
20152110112126-721,transit
20152110122123-407,transit
20152110122153-299,transit
20152111092100-400,none
20152111122136-527,camper
20152112022147-274,camper
20152112022158-529,none
20152112052153-188,none
20152112062125-25,transit
20152112122156-641,camper
20152113012118-334,transit
20152113032105-810,transit
20152113032146-740,transit
20152113062104-747,camper
20152113072113-341,camper
20152113082134-379,transit
20152113092153-515,camper
20152113112105-375,transit
20152113112111-474,camper
20152113122117-126,none
20152113122131-405,transit
20152114012137-37,camper
20152114022149-636,camper
20152114052147-25,camper
20152114062127-937,none
20152114062143-72,camper
20152114062155-626,transit
20152114082104-58,transit
20152114092105-596,none
20152114092152-64,none
20152114092153-665,none
20152115022106-782,camper
20152115022112-484,transit
20152115022139-792,none
20152115032120-829,camper
20152115052114-277,camper
20152115052144-891,transit
20152115072114-129,camper
20152115082118-322,transit
20152115112117-209,none
20152115122135-105,camper
20152115122151-22,transit
20152116012117-783,camper
20152116012154-321,transit
20152116022122-905,camper
20152116032136-119,transit
20152116052127-688,camper
20152117012105-319,camper
20152117022134-310,transit
20152117022136-22,camper
20152117022138-506,none
20152117032144-298,camper
20152117032153-479,transit
20152117082147-620,transit
20152117102116-550,transit
20152117102125-801,transit
20152117102148-715,transit
20152117112144-981,none
20152118012111-932,none
20152118012158-789,none
20152118022105-958,camper
20152118022130-931,none
20152118032137-233,camper
20152118042118-402,camper
20152118042132-912,transit
20152118062116-871,none
20152118062119-213,transit
20152118072137-646,camper
20152118082127-664,camper
20152118102115-982,transit
20152118102155-426,none
20152118112126-133,transit
20152119012112-241,camper
20152119012122-41,none
20152119022156-795,camper
20152119042123-730,camper
20152119062102-718,camper
20152119062142-398,transit
20152119072136-180,camper
20152119072139-838,transit
20152119092102-380,camper
20152119092141-364,none
20152119112140-97,transit
20152119112147-519,camper
20152119122102-412,camper
20152120032107-809,camper
20152120032144-608,camper
20152120042149-770,camper
20152120042151-891,transit
20152120062113-208,transit
20152120062126-798,camper
20152120062137-97,none
20152120072110-350,camper
20152120072139-567,none
20152120082112-482,transit
20152120082123-322,none
20152120092115-393,ranger
20152120122138-42,camper
20152121012154-584,transit
20152121032108-158,transit
20152121052117-267,camper
20152121072132-648,transit
20152122032104-25,transit
20152122032147-219,none
20152122042102-592,camper
20152122082127-299,camper
20152122092109-795,none
20152122112149-266,transit
20152122122110-0,none
20152123012131-392,camper
20152123012154-34,camper
20152123012156-892,transit
20152123022116-269,transit
20152123022155-571,camper
20152123032134-92,camper
20152123052127-127,camper
20152123052153-48,transit
20152123082158-381,transit
20152123092102-183,transit
20152123092103-610,camper
20152123102144-807,camper
20152123112152-81,none
20152123112157-145,transit
20152123112158-667,transit
20152124032130-189,camper
20152124042144-877,transit
20152124042157-591,none
20152124062158-615,camper
20152124062158-997,transit
20152124092157-104,transit
20152124122113-381,camper
20152125012145-520,transit
20152125052113-381,camper
20152125062113-255,camper
20152125082143-910,none
20152125092114-567,camper
20152126012150-343,camper
20152126032100-410,camper
20152126032151-160,none
20152126062147-292,transit
20152126082127-586,none
20152126082136-831,none
20152126082136-879,transit
20152126092144-384,camper
20152126102142-711,camper
20152126102158-822,transit
20152126112132-235,camper
20152127022115-856,transit
20152127022147-128,transit
20152127072121-933,transit
20152127072145-488,transit
20152127092126-374,transit
20152127092127-236,none
20152127102149-247,camper
20152127122100-117,camper
20152128022142-203,ranger
20152128042140-763,camper
20152128062123-84,camper
20152128072158-862,camper
20152128082122-345,transit
20152128092124-904,camper
20152128102128-573,camper
20152128102134-587,transit
20152128122117-954,camper
20152129012109-280,camper
20152129052143-619,camper
20152129062158-608,none
20152129102109-855,camper
20152129102151-57,camper
20152130012150-571,ranger
20152130032113-173,camper
20152130042105-824,camper
20152130042117-481,transit
20152130052126-284,camper
20152130072111-229,camper
20152130082153-677,camper
20152130102130-760,camper
20152130122123-358,camper
20152131032135-392,transit
20152131042143-820,camper
20152131052130-113,camper
20152131052139-964,transit
20152131072114-536,camper
20152131082145-700,camper
20152201042213-827,camper
20152201042246-439,camper
20152201082225-621,camper
20152201102241-597,camper
20152201122209-900,none
20152202012218-44,transit
20152202022209-169,camper
20152202022250-564,none
20152202032222-714,ranger
20152202042207-865,transit
20152202052214-494,camper
20152202062209-615,none
20152202092258-284,camper
20152202102216-351,transit
20152202102234-147,ranger
20152202102255-946,camper
20152203012222-575,camper
20152203022240-717,none
20152203102251-393,transit
20152204012203-647,camper
20152204022256-24,none
20152204042231-872,transit
20152204042233-205,transit
20152204072237-355,transit
20152204092240-394,none
20152204122238-160,camper
20152204122249-309,ranger
20152205012225-120,none
20152205022233-507,camper
20152205052223-701,camper
20152205052244-453,camper
20152206032253-815,transit
20152206032259-605,camper
20152206042213-803,camper
20152206042215-304,none
20152206102200-278,transit
20152206102254-44,camper
20152206122234-137,none
20152207042208-551,camper
20152207052205-192,camper
20152207062203-49,transit
20152207062244-430,camper
20152207072213-862,camper
20152207082206-772,camper
20152207092241-349,transit
20152207112247-321,camper
20152207112251-309,transit
20152207122235-665,camper
20152207122249-225,camper
20152208012223-312,none
20152208012227-661,camper
20152208022208-434,none
20152208032247-227,camper
20152208042243-251,camper
20152208052219-435,camper
20152208062246-552,transit
20152208072205-212,none
20152208092238-312,ranger
20152208102214-315,none
20152208112234-845,camper
20152209012245-920,camper
20152209032232-843,none
20152209042237-129,none
20152209112200-277,transit
20152209112223-837,camper
20152209122210-562,camper
20152209122252-643,transit
20152210012222-457,none
20152210012245-940,transit
20152210022206-313,transit
20152210032211-174,camper
20152210052208-675,transit
20152210082219-476,transit
20152210082225-415,transit
20152210092239-278,none
20152210102209-548,none
20152210102259-455,transit
20152210112213-643,none
20152210112240-564,none
20152211012222-635,transit
20152211022237-502,camper
20152211032204-654,none
20152211042208-883,camper
20152211042210-394,camper
20152211042237-726,none
20152211042257-697,none
20152211072207-967,camper
20152211072240-895,camper
20152211072259-493,none
20152211092220-167,none
20152211102241-237,transit
20152211122236-998,camper
20152212012220-833,transit
20152212012249-243,camper
20152212042240-581,transit
20152212062218-105,none
20152212072218-389,none
20152212082224-705,transit
20152212092223-877,transit
20152212092229-313,ranger
20152212112239-676,camper
20152212112246-498,camper
20152212122210-842,none
20152213022222-988,transit
20152213052204-177,transit
20152213052231-459,none
20152213052248-272,camper
20152213062229-308,transit
20152213082239-249,none
20152213082245-237,transit
20152213092251-545,transit
20152213112203-206,transit
20152214052220-756,transit
20152214082229-840,ranger
20152214112227-822,none
20152215012241-906,transit
20152215012252-40,transit
20152215022221-833,camper
20152215052253-670,transit
20152215082220-506,camper
20152215082242-794,camper
20152215092206-481,camper
20152215092246-386,camper
20152215112213-245,ranger
20152215112254-271,none
20152215122235-485,camper
20152216022232-679,camper
20152216052222-777,transit
20152216082220-757,camper
20152216092258-194,none
20152216102203-558,camper
20152217012232-158,camper
20152217032234-627,camper
20152217052212-65,none
20152217052228-789,none
20152217062216-899,none
20152217062234-111,camper
20152217082258-420,transit
20152217092227-37,none
20152217112251-421,camper
20152218012209-123,camper
20152218032209-218,none
20152218042251-536,ranger
20152218052241-425,camper
20152218072255-716,camper
20152218102211-392,ranger
20152218112227-86,transit
20152218122205-541,camper
20152218122219-545,camper
20152219012207-18,camper
20152219022226-144,transit
20152219062237-780,none
20152219062245-400,transit
20152219092238-393,camper
20152219112242-277,camper
20152219122227-40,transit
20152219122244-561,ranger
20152220042220-374,camper
20152220052216-995,none
20152220062208-128,transit
20152220092213-786,camper
20152220102228-66,camper
20152220112252-143,camper
20152221042228-210,transit
20152221072217-797,camper
20152221082207-234,none
20152221092251-883,camper
20152221102210-862,camper
20152221122225-86,transit
20152222012249-468,camper
20152222022221-91,none
20152222022247-926,transit
20152222102227-126,none
20152223022255-149,transit
20152223042211-392,transit
20152223042218-412,transit
20152223052251-513,camper
20152223102215-972,transit
20152223122243-678,ranger
20152224012227-459,camper
20152224012238-864,transit
20152224022226-330,camper
20152224022249-336,transit
20152224062251-834,camper
20152224062254-484,transit
20152224092219-261,camper
20152225012231-425,camper
20152225022204-845,camper
20152225032231-526,none
20152225052226-588,none
20152225052227-856,transit
20152225052245-62,transit
20152225072221-988,transit
20152225082250-866,camper
20152225102215-515,transit
20152225122203-527,transit
20152225122214-61,none
20152226012202-158,transit
20152226032253-445,camper
20152226042225-392,none
20152226052247-507,transit
20152226062249-472,none
20152226092250-865,camper
20152226102230-122,transit
20152226112253-35,transit
20152226122251-984,camper
20152227012222-977,none
20152227022219-923,camper
20152227032213-640,transit
20152227032235-207,camper
20152227062255-337,camper
20152227062258-532,camper
20152227082212-733,transit
20152228012232-73,transit
20152228012256-73,camper
20152228052246-362,transit
20152228072238-733,transit
20152228072255-257,transit
20152228082226-837,transit
20152228092227-946,transit
20152228112223-26,camper
20152229012216-958,camper
20152229022224-672,camper
20152229042252-825,transit
20152229052214-773,camper
20152229062205-244,none
20152229062214-724,camper
20152229062218-697,transit
20152229062233-1,camper
20152229082208-930,transit
20152229082211-119,transit
20152229092222-160,camper
20152229102207-462,transit
20152230022207-391,transit
20152230022253-963,camper
20152230062207-827,transit
20152230072211-448,camper
20152230092210-527,transit
20152230102236-33,transit
20152230112213-138,transit
20152230122219-12,transit
20152230122233-577,camper
20152231032211-936,camper
20152231062202-976,ranger
20152231072249-788,camper
20152231082210-565,transit
20152231092234-568,camper
20152231092249-413,ranger
20152231122207-586,camper
20152231122245-86,transit
20152301012309-631,none
20152301012355-664,none
20152301022309-569,camper
20152301032339-982,camper
20152301032352-299,transit
20152301062342-475,transit
20152301112328-896,none
20152302012357-409,camper
20152302052353-71,camper
20152302082313-686,camper
20152302082355-364,transit
20152302112341-300,transit
20152302122333-628,camper
20152303022337-383,transit
20152303032328-493,camper
20152303042327-304,camper
20152303052305-443,camper
20152303052328-94,camper
20152303052342-816,transit
20152303082316-783,transit
20152303122300-503,transit
20152303122324-976,transit
20152303122355-921,transit
20152304012310-843,camper
20152304062326-36,camper
20152304062337-472,none
20152304082301-656,transit
20152304092306-366,camper
20152304102318-470,transit
20152304102334-555,camper
20152304112312-366,transit
20152305012336-61,camper
20152305022313-514,camper
20152305032346-176,transit
20152305042350-547,transit
20152305052333-803,camper
20152305052335-966,transit
20152305062305-421,none
20152305082333-92,transit
20152305082336-140,transit
20152305082340-588,none
20152305092306-830,transit
20152305092355-533,camper
20152305102359-381,transit
20152305112331-211,camper
20152306012327-196,transit
20152306012336-797,none
20152306052342-412,none
20152307032323-592,transit
20152307032337-327,camper
20152307032350-692,transit
20152307032352-90,transit
20152307042315-347,camper
20152307062331-61,transit
20152307102329-186,camper
20152307122306-159,camper
20152308022352-388,transit
20152308032332-748,camper
20152308032338-323,none
20152308042340-603,transit
20152308042350-143,ranger
20152308052309-408,transit
20152308052334-841,camper
20152308052350-291,transit
20152308062330-627,camper
20152308092357-115,transit
20152308112339-333,transit
20152309012303-904,none
20152309032337-465,none
20152309042301-368,camper
20152309042314-932,ranger
20152309042338-514,transit
20152309042350-396,camper
20152309052315-705,none
20152309052319-743,transit
20152309062306-178,transit
20152309062330-493,transit
20152309072326-14,none
20152309092303-862,camper
20152309122344-82,none
20152309122352-628,transit
20152310012300-960,transit
20152310012347-406,camper
20152310032333-876,camper
20152310032340-322,camper
20152310062330-670,none
20152310062340-347,camper
20152310072357-609,transit
20152310082337-650,camper
20152310122302-214,none
20152310122310-667,transit
20152310122331-147,transit
20152310122332-782,camper
20152310122351-816,camper
20152311042305-710,transit
20152311042309-856,none
20152311062307-732,transit
20152311062324-562,camper
20152311062341-163,none
20152311072310-506,transit
20152311072315-507,transit
20152311102311-455,camper
20152311102347-770,camper
20152311112310-680,none
20152311122311-487,transit
20152311122334-641,none
20152312032306-68,transit
20152312032319-646,camper
20152312032331-150,transit
20152312072343-139,transit
20152312092334-13,camper
20152312102355-589,transit
20152312112319-869,camper
20152312122312-603,camper
20152313012351-447,transit
20152313032302-271,camper
20152313042355-59,transit
20152313082337-923,transit
20152313082354-230,transit
20152313102357-845,camper
20152313112312-967,transit
20152313112315-738,transit
20152314022354-603,none
20152314062321-228,camper
20152314062351-552,camper
20152314072344-822,none
20152314082352-547,camper
20152314092359-912,transit
20152314112304-131,transit
20152315032358-764,transit
20152315072332-767,transit
20152315082333-104,transit
20152315092322-945,transit
20152315102309-132,camper
20152315102339-716,transit
20152315102354-941,camper
20152315112315-857,transit
20152315112350-62,transit
20152315122321-162,camper
20152316042323-34,transit
20152316042327-753,transit
20152316052346-175,camper
20152316062304-669,transit
20152317012342-801,camper
20152317012346-970,camper
20152317022307-38,transit
20152317022313-873,none
20152317022335-709,none
20152317032338-48,transit
20152317092314-52,camper
20152317102301-124,camper
20152317102350-322,transit
20152317122348-82,camper
20152318072357-176,camper
20152318082312-652,transit
20152318082352-750,transit
20152318082356-512,camper
20152318102340-546,camper
20152318122323-590,transit
20152318122332-895,transit
20152319012332-577,transit
20152319052345-291,transit
20152319052357-61,camper
20152319062326-778,transit
20152319062329-368,transit
20152319082350-281,camper
20152319092320-59,camper
20152319102320-697,none
20152319102327-675,transit
20152319102346-104,transit
20152319122309-722,none
20152320032305-961,transit
20152320042343-566,transit
20152320062307-304,transit
20152320082328-24,transit
20152320082347-537,none
20152320082354-550,camper
20152320122309-834,transit
20152321032356-54,camper
20152321052344-894,ranger
20152321082309-919,transit
20152322022322-987,transit
20152322022341-751,camper
20152322022358-505,none
20152322032311-486,none
20152322032341-450,camper
20152322042319-725,camper
20152322072348-123,camper
20152322082341-481,none
20152322092332-533,camper
20152322102328-907,transit
20152322112332-133,camper
20152323012334-36,none
20152323032339-44,camper
20152323042339-40,transit
20152323062321-314,none
20152323072326-280,transit
20152323072348-119,camper
20152323092311-855,transit
20152323112354-819,none
20152323122345-460,none
20152324022320-66,transit
20152324022327-190,transit
20152324042300-801,transit
20152324052315-848,transit
20152324062336-990,transit
20152324062346-315,none
20152324122302-106,transit
20152325012334-763,camper
20152325032338-563,camper
20152325042329-787,camper
20152325042351-815,transit
20152325062348-193,none
20152325092328-229,camper
20152325092351-461,none
20152326012317-940,camper
20152326062339-173,transit
20152326082325-308,camper
20152326092313-487,none
20152327042320-323,transit
20152327072313-908,transit
20152327072324-277,camper
20152327072350-759,none
20152327092353-670,camper
20152328042352-915,transit
20152328052331-12,transit
20152328052341-673,camper
20152328062340-570,transit
20152328082316-929,camper
20152328092339-933,none
20152328102355-953,camper
20152328112340-523,camper
20152328112352-194,camper
20152328122311-696,camper
20152329032334-147,camper
20152329032351-969,transit
20152329042336-445,ranger
20152329052335-690,camper
20152329062349-272,transit
20152329072302-894,camper
20152329082330-106,transit
20152329112318-793,none
20152330012336-951,transit
20152330032302-7,none
20152330072319-809,transit
20152330112320-637,camper
20152330112343-14,camper
20152330112343-461,camper
20152330122319-139,camper
20152331032358-34,camper
20152331062301-12,transit
20152331102327-0,camper
20152331112304-830,none
20152331112333-23,transit
20152401012401-945,transit
20152401042423-667,none
20152401042455-455,transit
20152401052435-718,transit
20152401082415-2,transit
20152401082424-321,camper
20152401092405-316,camper
20152402022405-673,transit
20152402022440-487,transit
20152402052415-950,none
20152402052446-631,none
20152402102451-539,transit
20152402112425-692,transit
20152403022431-861,transit
20152403072422-270,transit
20152403072422-587,none
20152403092415-182,none
20152403092450-889,transit
20152403092454-380,camper
20152403102434-408,camper
20152403122407-918,camper
20152403122411-987,transit
20152403122426-392,none
20152404012417-940,camper
20152404022405-329,camper
20152404022448-606,none
20152404042428-569,camper
20152404052454-27,ranger
20152404052454-43,camper
20152404072411-614,camper
20152405012441-733,transit
20152405022459-647,transit
20152405032406-480,none
20152405042448-474,camper
20152405052406-500,camper
20152405052429-339,transit
20152405052429-552,transit
20152405072434-384,transit
20152405072454-867,ranger
20152405082447-612,none
20152405092403-279,camper
20152405112431-324,none
20152405122407-516,camper
20152405122436-184,camper
20152406032402-937,transit
20152406062413-985,ranger
20152406062431-898,none
20152406112431-687,camper
20152407022444-628,camper
20152407072413-469,camper
20152407092408-902,transit
20152407112407-347,none
20152408032407-297,camper
20152408032428-524,camper
20152408052435-531,camper
20152408092417-963,none
20152408102406-549,camper
20152408102413-854,transit
20152408112419-449,none
20152408122403-570,camper
20152408122408-513,transit
20152408122413-113,ranger
20152409032441-824,camper
20152409072430-537,transit
20152409072455-322,transit
20152410022441-44,none
20152410052429-714,transit
20152410062418-384,none
20152410062442-798,transit
20152411022428-441,camper
20152411032440-684,camper
20152411062410-916,none
20152411082414-565,transit
20152411082436-105,camper
20152411112400-77,transit
20152411112403-168,camper
20152412032403-590,camper
20152412032434-101,camper
20152412052457-971,none
20152412072424-920,transit
20152412092409-540,camper
20152412102404-488,transit
20152412112444-843,transit
20152413022453-895,transit
20152413042403-986,camper
20152413082458-639,none
20152413092454-51,none
20152414012445-532,none
20152414012455-891,camper
20152414032433-552,transit
20152414062411-153,none
20152414072405-565,camper
20152414072427-544,transit
20152414102424-455,transit
20152414102459-200,camper
20152414112403-762,camper
20152414112449-719,transit
20152414122415-656,camper
20152414122458-225,none
20152415022421-459,transit
20152415032400-232,none
20152415032411-506,transit
20152415072428-134,none
20152415082432-673,camper
20152415082445-519,transit
20152415102404-680,camper
20152416012433-808,camper
20152416052437-776,transit
20152416072430-9,camper
20152416082403-649,transit
20152416092419-925,transit
20152416092443-318,camper
20152416102430-660,camper
20152416112439-676,none
20152417062433-543,camper
20152417072435-96,transit
20152417092440-18,transit
20152418032419-355,transit
20152418042404-126,none
20152418062402-211,ranger
20152418062431-881,transit
20152418062434-209,camper
20152418082406-450,transit
20152418082414-70,none
20152419022425-210,camper
20152419032446-621,transit
20152419032457-473,camper
20152419072451-481,transit
20152419082409-947,transit
20152419102424-497,camper
20152419112454-313,none
20152420022410-547,transit
20152420022419-264,camper
20152420032414-663,camper
20152420032437-451,transit
20152420042418-788,ranger
20152420092438-901,transit
20152420102431-623,ranger
20152420122408-685,camper
20152420122429-39,camper
20152420122455-320,transit
20152420122455-589,transit
20152421012429-950,transit
20152421022448-172,camper
20152421022459-684,transit
20152421032440-973,camper
20152421042448-292,none
20152421062416-977,camper
20152421072403-434,camper
20152421122448-609,camper
20152422012450-156,camper
20152422012456-587,transit
20152422022432-539,transit
20152422022446-473,transit
20152422042432-491,none
20152422072455-952,none
20152422092440-277,camper
20152422092444-139,transit
20152422112440-749,ranger
20152423022412-719,none
20152423052446-168,transit
20152423062407-315,transit
20152423072412-875,camper
20152423082429-73,camper
20152423092439-48,transit
20152423112402-763,none
20152423112459-17,none
20152424032429-194,camper
20152424042420-968,camper
20152424052443-578,none
20152424062413-508,camper
20152424062441-168,camper
20152424062452-330,camper
20152424072445-404,none
20152424092415-398,camper
20152424092432-500,transit
20152424092452-62,transit
20152424112431-241,transit
20152424112450-95,none
20152425022404-621,transit
20152425042429-767,none
20152425052441-935,none
20152425052447-406,transit
20152425092455-910,camper
20152425102452-494,transit
20152425112418-776,none
20152425122402-939,transit
20152426012406-588,transit
20152426012444-553,camper
20152426042443-801,none
20152426062419-163,transit
20152426062421-939,transit
20152426062434-212,camper
20152426082409-815,transit
20152426102420-898,transit
20152426112406-630,transit
20152426112411-28,ranger
20152427042457-76,camper
20152427052450-592,none
20152427082431-293,transit
20152427102437-384,none
20152427102449-480,transit
20152428012418-349,transit
20152428082416-736,transit
20152428092457-800,none
20152428112424-840,none
20152428112426-434,camper
20152429012447-906,camper
20152429032416-518,none
20152429062400-884,none
20152429072428-70,transit
20152429082415-229,transit
20152429092418-25,transit
20152430012427-9,transit
20152430012458-590,camper
20152430032437-581,camper
20152430072403-109,ranger
20152430092403-586,none
20152430092422-260,transit
20152430092456-841,transit
20152431022403-301,camper
20152431042401-601,transit
20152431042436-774,transit
20152431052426-912,transit
20152431062440-856,none
20152431082455-57,transit
20152431122444-914,camper
20152501012546-952,none
20152501012557-10,ranger
20152501022508-822,none
20152501032501-316,camper
20152501032517-581,camper
20152501042554-868,transit
20152501052505-264,transit
20152501052545-509,transit
20152501062522-694,camper
20152501072548-463,camper
20152501072557-71,transit
20152501082533-97,transit
20152501092548-592,none
20152501112519-331,none
20152502022556-609,transit
20152502052551-148,transit
20152502052558-440,none
20152502062553-799,camper
20152502092544-104,camper
20152502112508-357,transit
20152502112545-83,camper
20152503012502-560,transit
20152503032527-873,camper
20152503092511-223,transit
20152503122522-339,none
20152504042505-190,transit
20152504042522-96,camper
20152504062558-894,transit
20152504072503-198,camper
20152504082535-450,transit
20152504102511-329,camper
20152504102521-438,transit
20152504102537-658,camper
20152504102542-990,camper
20152504112551-431,camper
20152505042539-392,transit
20152505052550-320,camper
20152505062547-670,transit
20152505072520-878,none
20152505072542-147,none
20152505102515-978,camper
20152505102537-378,camper
20152505102539-470,camper
20152505122536-553,transit
20152506022558-327,ranger
20152506042502-26,transit
20152506042511-712,camper
20152506102551-352,none
20152506112538-503,transit
20152506122555-795,camper
20152507042510-272,transit
20152507042512-111,camper
20152507042513-559,transit
